Name,Team,Number,Position,Age,Height,Weight,College,Salary
Jusuf Nurkic,Denver Nuggets,23,C,21,161,280,,1842000.0
JaKarr Sampson,Denver Nuggets,9,SG,23,151,214,St. John's,258489.0
Axel Toupane,Denver Nuggets,6,SG,23,153,210,,
Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,164,240,,3950001.0
Gorgui Dieng,Minnesota Timberwolves,5,C,26,179,241,Louisville,1474440.0
Kevin Garnett,Minnesota Timberwolves,21,PF,40,166,240,,8500000.0
Tyus Jones,Minnesota Timberwolves,1,PG,20,179,195,Duke,1282080.0
Zach LaVine,Minnesota Timberwolves,8,PG,21,164,189,UCLA,2148360.0
Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,159,223,UCLA,2056920.0
Adreian Payne,Minnesota Timberwolves,33,PF,25,174,237,Michigan State,1938840.0
Nikola Pekovic,Minnesota Timberwolves,14,C,30,157,307,,12100000.0
Tayshaun Prince,Minnesota Timberwolves,12,SF,36,153,212,Kentucky,947276.0
Ricky Rubio,Minnesota Timberwolves,9,PG,25,158,194,,12700000.0
Damjan Rudez,Minnesota Timberwolves,10,SF,29,151,230,,1149500.0
Greg Smith,Minnesota Timberwolves,4,PF,25,168,250,Fresno State,
Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,158,244,Kentucky,5703600.0
Andrew Wiggins,Minnesota Timberwolves,22,SG,21,150,199,Kansas,5758680.0
Steven Adams,Oklahoma City Thunder,12,C,22,166,255,Pittsburgh,2279040.0
Nick Collison,Oklahoma City Thunder,4,PF,35,164,255,Kansas,3750000.0
Kevin Durant,Oklahoma City Thunder,35,SF,27,161,240,Texas,20158622.0
Randy Foye,Oklahoma City Thunder,6,SG,32,163,213,Villanova,3135000.0
Josh Huestis,Oklahoma City Thunder,34,SF,24,151,230,Stanford,1140240.0
Serge Ibaka,Oklahoma City Thunder,9,PF,26,174,245,,12250000.0
Enes Kanter,Oklahoma City Thunder,11,C,24,152,245,Kentucky,16407500.0
Mitch McGary,Oklahoma City Thunder,33,PF,24,171,255,Michigan,1463040.0
Nazr Mohammed,Oklahoma City Thunder,13,C,38,167,250,Kentucky,222888.0
Anthony Morrow,Oklahoma City Thunder,2,SG,30,156,210,Georgia Tech,3344000.0
Cameron Payne,Oklahoma City Thunder,22,PG,21,153,185,Murray State,2021520.0
Andre Roberson,Oklahoma City Thunder,21,SG,24,168,210,Colorado,1210800.0
Kyle Singler,Oklahoma City Thunder,5,SF,28,165,228,Duke,4500000.0
Dion Waiters,Oklahoma City Thunder,3,SG,24,158,220,Syracuse,5138430.0
Russell Westbrook,Oklahoma City Thunder,0,PG,27,151,200,UCLA,16744218.0
Cliff Alexander,Portland Trail Blazers,34,PF,20,173,240,Kansas,525093.0
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,162,215,Wake Forest,8042895.0
Pat Connaughton,Portland Trail Blazers,5,SG,23,170,206,Notre Dame,625093.0
Allen Crabbe,Portland Trail Blazers,23,SG,24,164,210,California,947276.0
Ed Davis,Portland Trail Blazers,17,C,27,168,240,North Carolina,6980802.0
Maurice Harkless,Portland Trail Blazers,4,SF,23,165,215,St. John's,2894059.0
Gerald Henderson,Portland Trail Blazers,9,SG,28,171,215,Duke,6000000.0
Chris Kaman,Portland Trail Blazers,35,C,34,165,265,Central Michigan,5016000.0
Meyers Leonard,Portland Trail Blazers,11,PF,24,163,245,Illinois,3075880.0
Damian Lillard,Portland Trail Blazers,0,PG,25,154,195,Weber State,4236287.0
C.J. McCollum,Portland Trail Blazers,3,SG,24,172,200,Lehigh,2525160.0
Luis Montero,Portland Trail Blazers,44,SG,23,153,185,Westchester CC,525093.0
Mason Plumlee,Portland Trail Blazers,24,C,26,167,235,Duke,1415520.0
Brian Roberts,Portland Trail Blazers,2,PG,30,178,173,Dayton,2854940.0
Noah Vonleh,Portland Trail Blazers,21,PF,20,177,240,Indiana,2637720.0
Trevor Booker,Utah Jazz,33,PF,28,173,228,Clemson,4775000.0
Trey Burke,Utah Jazz,3,PG,23,172,191,Michigan,2658240.0
Alec Burks,Utah Jazz,10,SG,24,153,214,Colorado,9463484.0
Dante Exum,Utah Jazz,11,PG,20,164,190,,3777720.0
Derrick Favors,Utah Jazz,15,PF,24,179,265,Georgia Tech,12000000.0
Rudy Gobert,Utah Jazz,27,C,23,174,245,,1175880.0
Gordon Hayward,Utah Jazz,20,SF,26,158,226,Butler,15409570.0
Rodney Hood,Utah Jazz,5,SG,23,152,206,Duke,1348440.0
Joe Ingles,Utah Jazz,2,SF,28,160,226,,2050000.0
Chris Johnson,Utah Jazz,23,SF,26,170,206,Dayton,981348.0
Trey Lyles,Utah Jazz,41,PF,20,151,234,Kentucky,2239800.0
Shelvin Mack,Utah Jazz,8,PG,26,159,203,Butler,2433333.0
Raul Neto,Utah Jazz,25,PG,24,164,179,,900000.0
Tibor Pleiss,Utah Jazz,21,C,26,158,256,,2900000.0
Jeff Withey,Utah Jazz,24,C,26,170,231,Kansas,947276.0
Priyanka,Utah Jazz,34,C,25,150,231,Kansas,947276.0
